Dosya Adı;Mevzuat No;Yönetmelik
7.5.10105.txt;10105;PETROL PİYASASINDA ULUSAL MARKER UYGULAMASINA İLİŞKİN YÖNETMELİK
7.5.10108.txt;10108;SİVİL HAVA - ARAÇ KAZALARI SORUŞTURMA YÖNETMELİĞİ(SHY – 13)
7.5.10110.txt;10110;FİKİR VE SANAT ESERLERİNİ İÇEREN TAŞIYICI MATERYALLER İLE BU ESERLERİN ÇOĞALTILMASINA YARAYAN TEKNİK CİHAZLARIN BEDELLERİNDEN YAPILAN KESİNTİLERİN KULLANIMINA İLİŞKİN USUL VE ESASLAR HAKKINDA YÖNETMELİK
7.5.10114.txt;10114;SİVİL HAVACILIK İSTATİSTİKİ BİLGİLER YÖNETMELİĞİ(SHY-25)
7.5.10118.txt;10118;SİVİL HAVA VASITALARI TESCİL YÖNETMELİĞİ (SHD-T.34)
7.5.10122.txt;10122;KUZEY ANKARA GİRİŞİ KENTSEL DÖNÜŞÜM PROJESİ YÖNETMELİĞİ
7.5.10123.txt;10123;TÜRK İŞARET DİLİ SİSTEMİNİN OLUŞTURULMASI VE UYGULANMASINA YÖNELİK USUL VE ESASLARIN BELİRLENMESİNE İLİŞKİN YÖNETMELİK
7.5.10124.txt;10124;DIŞİŞLERİ BAKANLIĞI TEFTİŞ KURULU YÖNETMELİĞİ
7.5.10127.txt;10127;ÜNİVERSİTELERDE AKADEMİK TEŞKİLÂT YÖNETMELİĞİ
7.5.10128.txt;10128;YÜKSEKÖĞRETİM DENETLEME KURULU TEŞKİLÂT, GÖREV VE ÇALIŞMA USULLERİ YÖNETMELİĞİ
7.5.10151.txt;10151;YÜKSEKÖĞRETİM KURUMLARI ÖĞRETİM ELEMANLARI İLE YABANCI UYRUKLU ELEMANLARI GELİŞTİRME EĞİTİMİ YÖNETMELİĞİ
7.5.10152.txt;10152;DEVLET KONSERVATUVARLARI ORTA VE LİSE DEVRELERİ ÖĞRENCİ DİSİPLİN YÖNETMELİĞİ
7.5.10155.txt;10155;YURTİÇİNDE VE YURTDIŞINDA GÖREVLENDİRMELERDE UYULACAK ESASLARA İLİŞKİN YÖNETMELİK
7.5.10165.txt;10165;LİSANS ÜSTÜ EĞİTİM-ÖĞRETİM ENSTİTÜLERİNİN TEŞKİLÂT VE İŞLEYİŞ YÖNETMELİĞİ
7.5.10169.txt;10169;YÜKSEKÖĞRETİM KURUMLARI, MEDİKO-SOSYAL SAĞLIK, KÜLTÜR VE SPOR İŞLERİ DAİRESİ UYGULAMA YÖNETMELİĞİ
7.5.10176.txt;10176;KADASTRO SIRASINDA VEYA SONRASINDA YAPILAN İŞLEMLERLE GEOMETRİK DURUMLARI KESİNLEŞMİŞ OLAN TAŞINMAZLARDA ÖLÇÜ, SINIRLANDIRMA, TERSİMAT VE HESAPLAMALARDAN DOĞAN HATALARIN DÜZELTİLMESİNE İLİŞKİN YÖNETMELİK
7.5.10186.txt;10186;YÜKSEKÖĞRETİM KURULU TEŞKİLÂTI VE ÇALIŞMA USULLERİ YÖNETMELİĞİ
7.5.10189.txt;10189;YAPILARDA ÖZÜRLÜLERİN KULLANIMINA YÖNELİK PROJE TADİLİ KOMİSYONLARI TEŞKİLİ, ÇALIŞMA USUL VE ESASLARI HAKKINDA YÖNETMELİK
7.5.10195.txt;10195;TÜRK MÜHENDİS VE MİMAR ODALARI BİRLİĞİ İÇMİMARLAR ODASI ANA YÖNETMELİĞİ
7.5.10206.txt;10206;DENİZ ÇEVRESİNİN PETROL VE DİĞER ZARARLI MADDELERLE KİRLENMESİNDE ACİL DURUMLARDA MÜDAHALE VE ZARARLARIN TAZMİNİ ESASLARINA DAİR KANUN KAPSAMINDA MAL VE HİZMET ALIMINA İLİŞKİN YÖNETMELİK
7.5.10239.txt;10239;ETİ MADEN İŞLETMELERİ GENEL MÜDÜRLÜĞÜ TAŞIT, NAKİL, YOL VE İŞ MAKİNELERİ KİRA YÖNETMELİĞİ
7.5.10243.txt;10243;ÖZEL MESLEKİ REHABİLİTASYON MERKEZLERİ HAKKINDA YÖNETMELİK
7.5.10246.txt;10246;YALOVA TERMAL KAPLICALARI İŞLETME İDARESİNİN ÇALIŞMA USUL VE ESASLARI İLE İŞLETMEYE DAİR HER TÜRLÜ MALİ VE İDARİ MUAMELELERİN YÜRÜTÜLME ŞEKLİNE VE MUHASEBE USULLERİNE DAİR YÖNETMELİK
7.5.10247.txt;10247;YALOVA TERMAL KAPLICALARININ GERÇEK KİŞİLERE VEYA ÖZEL HUKUK TÜZEL KİŞİLERİNE KİRALANMAK VEYA RESTORE ET-İŞLET-DEVRET USULÜ İLE DEVREDİLMEK SURETİYLE İŞLETİLMESİNE DAİR YÖNETMELİK
7.5.10253.txt;10253;TOPLU KONUT İDARESİ BAŞKANLIĞI SATIŞ, DEVİR, İNTİKAL, KİRAYA VERME, TRAMPA, SINIRLI AYNİ HAK TESİSİ VE ARSA SATIŞI KARŞILIĞI GELİR PAYLAŞIMI İHALE YÖNETMELİĞİ
7.5.10262.txt;10262;TÜRKİYE PETROLLERİ ANONİM ORTAKLIĞI MAL VE HİZMET SATIM VE DEĞERLENDİRME YÖNETMELİĞİ
7.5.10275.txt;10275;KÖY BAZLI KATILIMCI YATIRIM PROGRAMLARI KAPSAMINDA YATIRIMCILAR TARAFINDAN YAPILACAK HİBE BAŞVURULARININ DESTEKLENMESİ YÖNETMELİĞİ
7.5.10276.txt;10276;SAHTE MADENÎ PARALARIN VE SİKKELERİN İNCELENMESİ VE DEĞERLENDİRİLMESİNDE UYULACAK USUL VE ESASLAR HAKKINDA YÖNETMELİK
7.5.10280.txt;10280;SIVILAŞTIRILMIŞ PETROL GAZLARI (LPG) PİYASASINDA YAPILACAK DENETİMLER İLE ÖN ARAŞTIRMA VE SORUŞTURMALARDA TAKİP EDİLECEK USUL VE ESASLAR HAKKINDA YÖNETMELİK
7.5.10300.txt;10300;HAYVANLARIN KORUNMASINA DAİR UYGULAMA YÖNETMELİĞİ
7.5.10307.txt;10307;TARIM SİGORTALARI UYGULAMA YÖNETMELİĞİ
7.5.10308.txt;10308;TARIM SİGORTALARI HAVUZU ÇALIŞMA USUL VE ESASLARI HAKKINDA YÖNETMELİK
7.5.10312.txt;10312;TARIM İŞLETMELERİ GENEL MÜDÜRLÜĞÜ ALIM-SATIM VE İHALE YÖNETMELİĞİ
7.5.10313.txt;10313;FİKİR VE SANAT ESERLERİNİN KAYIT VE TESCİLİ HAKKINDA YÖNETMELİK
7.5.10318.txt;10318;DEVLET OPERA VE BALESİ GENEL MÜDÜRLÜĞÜ ALIM, SATIM VE İHALE İŞLERİ İLE MUHASEBE İŞLERİ VE AYNİYAT İŞLEMLERİ YÖNETMELİĞİ
7.5.10340.txt;10340;TÜRKİYE DENİZCİLİK İŞLETMELERİ ANONİM ŞİRKETİ DENİZ VASITALARI KİRALAMA İŞLEMLERİ YÖNETMELİĞİ
7.5.10343.txt;10343;BAŞBAKANLIK YÜKSEK DENETLEME KURULU PERSONELİ GÖREVDE YÜKSELME VE UNVAN DEĞİŞİKLİĞİ YÖNETMELİĞİ
7.5.10352.txt;10352;MİLLÎ EĞİTİM BAKANLIĞI YABANCI DİL EĞİTİMİ VE ÖĞRETİMİ YÖNETMELİĞİ
7.5.10362.txt;10362;TÜRKİYE İSTATİSTİK KURUMU EĞİTİM VE ARAŞTIRMA MERKEZİNİN KURULUŞU GÖREVLERİ VE ÇALIŞMA ESASLARINA İLİŞKİN YÖNETMELİK
7.5.10365.txt;10365;İHRACAT YÖNETMELİĞİ
7.5.10392.txt;10392;ELEKTRİK TESİSLERİNDE TOPRAKLAMALAR YÖNETMELİĞİ
7.5.10397.txt;10397;BÜYÜKŞEHİR BELEDİYELERİ KOORDİNASYON MERKEZLERİ YÖNETMELİĞİ
7.5.10402.txt;10402;ETİ MADEN İŞLETMELERİ GENEL MÜDÜRLÜĞÜNÜN 4734 SAYILI KAMU İHALE KANUNUNUN 3 ÜNCÜ MADDESİNİN (G) BENDİ KAPSAMINDA YAPACAĞI MAL VE HİZMET ALIMLARINDA UYGULANACAK USUL VE ESASLAR HAKKINDA YÖNETMELİK
7.5.10429.txt;10429;RESMÎ İSTATİSTİKLERDE VERİ GİZLİLİĞİ VE GİZLİ VERİ GÜVENLİĞİNE İLİŞKİN USUL VE ESASLAR HAKKINDA YÖNETMELİK
7.5.10434.txt;10434;DALABİLİR DENİZ ARAÇLARI HAKKINDA YÖNETMELİK
7.5.10437.txt;10437;DIŞİŞLERİ BAKANLIĞI PERSONELİ DİSİPLİN AMİRLERİ YÖNETMELİĞİ
7.5.10454.txt;10454;EVRENSEL HİZMET GELİRLERİNİN TAHSİLİ VE GİDERLERİN YAPILMASINA İLİŞKİN USUL VE ESASLAR HAKKINDA YÖNETMELİK
7.5.10469.txt;10469;TASARRUF MEVDUATI SİGORTA FONU İNSAN KAYNAKLARI YÖNETMELİĞİ
7.5.10471.txt;10471;KÜLTÜR VE TURİZM BAKANLIĞI DEVLET KOROLARI VE TOPLULUKLARI YÖNETMELİĞİ
7.5.10481.txt;10481;TÜRK MÜHENDİS VE MİMAR ODALARI BİRLİĞİ JEOLOJİ MÜHENDİSLERİ ODASI ANA YÖNETMELİĞİ
7.5.10494.txt;10494;BANKACILIK DÜZENLEME VE DENETLEME KURULUNUN ÇALIŞMA USUL VE ESASLARINA İLİŞKİN YÖNETMELİK
7.5.10495.txt;10495;TÜRK MÜHENDİS VE MİMAR ODALARI BİRLİĞİ ORMAN MÜHENDİSLERİ ODASI ANA YÖNETMELİĞİ
7.5.10500.txt;10500;KÜLTÜR YATIRIM VE GİRİŞİMLERİNE GELİR VERGİSİ STOPAJI, SİGORTA PRİMİ İŞVEREN PAYI VE SU BEDELİ İNDİRİMİ İLE ENERJİ DESTEĞİ UYGULAMASINA DAİR YÖNETMELİK
7.5.10503.txt;10503;GEMİLERDE METEOROLOJİK RASAT YAPILMASI HAKKINDA YÖNETMELİK
7.5.10517.txt;10517;KAMU TAŞINMAZLARININ TURİZM YATIRIMLARINA TAHSİSİ HAKKINDA YÖNETMELİK
7.5.10520.txt;10520;SİVİL HAVACILIK GENEL MÜDÜRLÜĞÜ GELİRLERİNİN TARH, TAHAKKUK VE TAHSİLATINA İLİŞKİN USUL VE ESASLAR HAKKINDA YÖNETMELİK
7.5.10522.txt;10522;BANKACILIK DÜZENLEME VE DENETLEME KURUMU TARAFINDAN YAPILACAK DENETİME İLİŞKİN USUL VE ESASLAR HAKKINDA YÖNETMELİK
7.5.10546.txt;10546;BAKIMA MUHTAÇ ÖZÜRLÜLERE YÖNELİK RESMÎ KURUM VE KURULUŞLAR BAKIM MERKEZLERİ YÖNETMELİĞİ
7.5.10549.txt;10549;ADRES VE NUMARALAMAYA İLİŞKİN YÖNETMELİK
7.5.10552.txt;10552;JANDARMA KRİMİNÂL DAİRE BAŞKANLIĞI VE JANDARMA BÖLGE KRİMİNÂL LABORATUVAR AMİRLİKLERİ KURULUŞ, GÖREV VE YETKİLERİ YÖNETMELİĞİ
7.5.10567.txt;10567;MİLLÎ EĞİTİM BAKANLIĞI KURUM TANITIM YÖNETMELİĞİ
7.5.10574.txt;10574;SOLAS VE MARPOL SÖZLEŞMELERİNE GÖRE BİLDİRİMLERE İLİŞKİN YÖNETMELİK
7.5.10589.txt;10589;BÜYÜKŞEHİR BELEDİYELERİ ÖZÜRLÜ HİZMET BİRİMLERİ YÖNETMELİĞİ
7.5.10594.txt;10594;ELEKTRİK ÜRETİM ANONİM ŞİRKETİ GENEL MÜDÜRLÜĞÜ SÖZLEŞMELİ PERSONEL SİCİL VE BAŞARI DEĞERLEMESİ YÖNETMELİĞİ
7.5.10601.txt;10601;İŞARET DİLİ TERCÜMANLIĞI HİZMETİ VERECEK PERSONELİN YETİŞTİRİLMESİ İLE ÇALIŞMA ESASLARI HAKKINDA YÖNETMELİK
7.5.10607.txt;10607;JANDARMA GENEL KOMUTANLIĞINDA GÖREVLİ DEVLET MEMURLARININ GÖREVDE YÜKSELME VE UNVAN DEĞİŞİKLİĞİ YÖNETMELİĞİ
7.5.10612.txt;10612;2809 SAYILI YÜKSEKÖĞRETİM KURUMLARI TEŞKİLATI KANUNUNUN EK 5 İNCİ MADDESİNDE BELİRTİLEN ÖZEL HESABIN OLUŞTURULMASI, KULLANIMI VE DENETİMİNE DAİR YÖNETMELİK
7.5.10617.txt;10617;ADLÎ TIP KURUMU DÖNER SERMAYE İŞLETMESİ YÖNETMELİĞİ
7.5.10619.txt;10619;TASARRUF MEVDUATI SİGORTA FONUNUN KAYNAKLARI İLE KAYNAKLARIN KULLANIMINA DAİR YÖNETMELİK
7.5.10620.txt;10620;TASARRUF MEVDUATI SİGORTA FONUNUN KONTROLÜNDEKİ ŞİRKETLERİN TASFİYESİNE DAİR YÖNETMELİK
7.5.10633.txt;10633;TARIMSAL YAYIM VE DANIŞMANLIK HİZMETLERİNİN DÜZENLENMESİNE DAİR YÖNETMELİK
7.5.10637.txt;10637;TÜRK MÜHENDİS VE MİMAR ODALARI BİRLİĞİ İNŞAAT MÜHENDİSLERİ ODASI YETKİN İNŞAAT MÜHENDİSLİĞİ YÖNETMELİĞİ
7.5.10644.txt;10644;TÜRK VETERİNER HEKİMLERİ BİRLİĞİ HİZMETLERİNİN YÜRÜTÜLMESİNE İLİŞKİN UYGULAMA YÖNETMELİĞİ
7.5.10647.txt;10647;KIYI EMNİYETİ GENEL MÜDÜRLÜĞÜ TAŞINMAZ KİRAYA VERME İŞLEMLERİ GENEL HİZMET YÖNETMELİĞİ
7.5.10648.txt;10648;KIYI EMNİYETİ GENEL MÜDÜRLÜĞÜ TESİSLERİNDEN YARARLANACAK KİŞİ, KAMU VE ÖZEL KURULUŞLARIN SİSTEM, CİHAZ VE DONANIMLARINA YER TAHSİSİ VE KULE KULLANDIRILMASI HİZMETLERİNİN SAĞLANMASINA İLİŞKİN YÖNETMELİK
7.5.10649.txt;10649;TARIM REFORMU GENEL MÜDÜRLÜĞÜ PERSONELİ GÖREVDE YÜKSELME VE UNVAN DEĞİŞİKLİĞİ YÖNETMELİĞİ
7.5.10662.txt;10662;TÜRK MÜHENDİS VE MİMAR ODALARI BİRLİĞİ GIDA MÜHENDİSLERİ ODASI ANA YÖNETMELİĞİ
7.5.10664.txt;10664;SÜRÜCÜ ADAYLARI VE SÜRÜCÜLERDE ARANACAK SAĞLIK ŞARTLARI İLE MUAYENELERİNE DAİR YÖNETMELİK
7.5.10666.txt;10666;2521 SAYILI AVDA VE SPORDA KULLANILAN TÜFEKLER, NİŞAN TABANCALARI VE AV BIÇAKLARININ YAPIMI, ALIMI, SATIMI VE BULUNDURULMASINA DAİR KANUNUN UYGULANMASINA İLİŞKİN YÖNETMELİK
7.5.10667.txt;10667;KALKINMA AJANSLARI BÜTÇE VE MUHASEBE YÖNETMELİĞİ
7.5.10676.txt;10676;MİLLİ PİYANGO İDARESİ GENEL MÜDÜRLÜĞÜ BİLET SATIŞ, ÇEKİLİŞ VE İKRAMİYE YÖNETMELİĞİ
7.5.10677.txt;10677;MİLLİ PİYANGO İDARESİ GENEL MÜDÜRLÜĞÜ KARŞILIĞI NAKİT OLMAYAN PİYANGOLAR VE ÇEKİLİŞLER HAKKINDA YÖNETMELİK
7.5.10678.txt;10678;SÜMER HOLDİNG A.Ş. GENEL MÜDÜRLÜĞÜNÜN 4734 SAYILI KAMU İHALE KANUNUNUN 3 ÜNCÜ MADDESİNİN (g) BENDİ KAPSAMINDA YAPACAĞI MAL VE HİZMET ALIMLARI HAKKINDA YÖNETMELİK
7.5.10685.txt;10685;TÜRK MÜHENDİS VE MİMAR ODALARI BİRLİĞİ İNŞAAT MÜHENDİSLERİ ODASI ANA YÖNETMELİĞİ
7.5.10687.txt;10687;KENT KONSEYİ YÖNETMELİĞİ
7.5.10691.txt;10691;KAMU İDARELERİNE AİT TAŞINMAZLARIN TAHSİS VE DEVRİ HAKKINDA YÖNETMELİK
7.5.10697.txt;10697;BELEDİYELERİN KENTSEL ALTYAPI İHTİYAÇLARI İÇİN TAHSİS EDİLEN ÖDENEĞİN KULLANIMINA İLİŞKİN YÖNETMELİK
7.5.10703.txt;10703;TÜRK MÜHENDİS VE MİMAR ODALARI BİRLİĞİ JEOLOJİ MÜHENDİSLERİ ODASI SERBEST JEOLOJİ MÜHENDİSLİK VE MÜŞAVİRLİK HİZMETLERİ UYGULAMA, BÜRO TESCİL VE MESLEKİ DENETİM YÖNETMELİĞİ
7.5.10704.txt;10704;TÜRK MÜHENDİS VE MİMAR ODALARI BİRLİĞİ GEMİ MAKİNALARI İŞLETME MÜHENDİSLERİ ODASI  SERBEST MÜHENDİSLİK, MÜŞAVİRLİK HİZMETLERİ, BÜRO TESCİL VE MESLEKİ DENETİM YÖNETMELİĞİ
7.5.10706.txt;10706;KÜLTÜR VE TURİZM BAKANLIĞI STAJYER KONTROLÖRLÜK GİRİŞ VE KONTROLÖR YETERLİK SINAVLARI İLE ATAMA, YETİŞTİRİLME VE ÇALIŞMA USUL VE ESASLARI HAKKINDA YÖNETMELİK
7.5.10707.txt;10707;MİLLÎ EĞİTİM BAKANLIĞI DÖNER SERMAYE İŞLETMELERİNDE ÜRETİMİ TEŞVİK PRİMİ DAĞITIMI, PARÇA BAŞI ÜRETİM, ATÖLYE VE TESİSLERİN ÖZEL SEKTÖRLE İŞBİRLİĞİYAPILARAK İŞLETİLMESİ HAKKINDA YÖNETMELİK
7.5.10713.txt;10713;BELEDİYE İTFAİYE YÖNETMELİĞİ
7.5.10715.txt;10715;DENİZ ÇEVRESİNİN PETROL VE DİĞER ZARARLI MADDELERLE KİRLENMESİNDE ACİL DURUMLARDA MÜDAHALE VE ZARARLARIN TAZMİNİ ESASLARINA DAİR KANUNUN UYGULAMA YÖNETMELİĞİ
7.5.10731.txt;10731;YABANCI PARA NET GENEL POZİSYON/ÖZKAYNAK STANDART ORANININ BANKALARCA KONSOLİDE VE KONSOLİDE OLMAYAN BAZDA HESAPLANMASI VE UYGULANMASI HAKKINDA YÖNETMELİK
7.5.10732.txt;10732;FİNANSAL HOLDİNG ŞİRKETLERİ HAKKINDA YÖNETMELİK
7.5.10733.txt;10733;BANKALARIN İRADİ TASFİYELERİ HAKKINDA YÖNETMELİK
7.5.10735.txt;10735;MEVDUAT VE KATILIM FONUNUN KABULÜNE, ÇEKİLMESİNE VE ZAMANAŞIMINA UĞRAYAN MEVDUAT, KATILIM FONU, EMANET VE ALACAKLARA İLİŞKİN USUL VE ESASLAR HAKKINDA YÖNETMELİK
7.5.10736.txt;10736;BANKALARCA YILLIK FAALİYET RAPORUNUN HAZIRLANMASINA VE YAYIMLANMASINA İLİŞKİN USUL VE ESASLAR HAKKINDA YÖNETMELİK
7.5.10737.txt;10737;BANKALARIN ÜST YÖNETİMİNE ATANACAKLARIN BİLDİRİMİ, YEMİN VE MAL BEYANINDA BULUNULMASI VE KARAR DEFTERLERİNİN TUTULMASINA İLİŞKİN USUL VE ESASLAR HAKKINDA YÖNETMELİK
7.5.10738.txt;10738;BANKALARIN KREDİ İŞLEMLERİNE İLİŞKİN YÖNETMELİK
7.5.10739.txt;10739;BANKALAR VE KONSOLİDE DENETİME TABİ KURULUŞLARCA YAPILABİLECEK BAĞIŞ VE YARDIMLARA İLİŞKİN YÖNETMELİK
7.5.10742.txt;10742;BANKALARIN BİRLEŞME, DEVİR, BÖLÜNME VE HİSSE DEĞİŞİMİ HAKKINDA YÖNETMELİK
7.5.10746.txt;10746;BANKALARIN İZNE TABİ İŞLEMLERİ İLE DOLAYLI PAY SAHİPLİĞİNE İLİŞKİN YÖNETMELİK
7.5.10747.txt;10747;BANKALARIN MUHASEBE UYGULAMALARINA VE BELGELERİN SAKLANMASINA İLİŞKİN USUL VE ESASLAR HAKKINDA YÖNETMELİK
7.5.10749.txt;10749;BANKALARIN LİKİDİTE YETERLİLİĞİNİN ÖLÇÜLMESİNE VE DEĞERLENDİRİLMESİNE İLİŞKİN YÖNETMELİK
7.5.10750.txt;10750;BANKALARIN KURUMSAL YÖNETİM İLKELERİNE İLİŞKİN YÖNETMELİK
7.5.10757.txt;10757;MAKİNA VE KİMYA ENDÜSTRİSİ KURUMU GENEL MÜDÜRLÜĞÜ HURDA İŞLETMESİ MÜDÜRLÜĞÜ YURTİÇİ PAZARLAMA VE SATIŞ YÖNETMELİĞİ
7.5.10769.txt;10769;SİGORTAYA TABİ MEVDUAT VE KATILIM FONLARI İLE TASARRUF MEVDUATI SİGORTA FONUNCA TAHSİL OLUNACAK PRİMLERE DAİR YÖNETMELİK
7.5.10775.txt;10775;GEMİLERİN GENEL DENETİMİ VE BELGELENDİRİLMESİ HAKKINDA YÖNETMELİK
7.5.10792.txt;10792;TASARRUF MEVDUATI SİGORTA FONU TARAFINDAN TİCARİ VE İKTİSADİ BÜTÜNLÜK OLUŞTURAN MAHCUZLARIN SATIŞINA İLİŞKİN YÖNETMELİK
7.5.10796.txt;10796;KAMULAŞTIRMA DAVALARINDA BİLİRKİŞİ OLARAK GÖREV YAPACAKLARIN NİTELİKLERİ VE ÇALIŞMA ESASLARINA İLİŞKİN YÖNETMELİK
7.5.10797.txt;10797;KADASTRO HARİTALARININ SAYISALLAŞTIRILMASI HAKKINDA YÖNETMELİK
7.5.10799.txt;10799;ÖMRÜNÜ TAMAMLAMIŞ LASTİKLERİN KONTROLÜ YÖNETMELİĞİ
7.5.10807.txt;10807;TÜRKİYE PETROLLERİ ANONİM ORTAKLIĞI PERSONEL YÖNETMELİĞİ
7.5.10809.txt;10809;KADASTRO GÜNCELLEME YÖNETMELİĞİ
7.5.10830.txt;10830;BASIN İLÂN KURUMU YÖNETMELİĞİ
7.5.10831.txt;10831;BASIN İLÂN KURUMU EĞİTİM, ARAŞTIRMA, YAYIN VE DOKÜMANTASYON HİZMETLERİ YÖNETMELİĞİ
7.5.10832.txt;10832;TÜRK MÜHENDİS VE MİMAR ODALARI BİRLİĞİ GEMİ MÜHENDİSLERİ ODASI SERBEST MÜHENDİSLİK, MÜŞAVİRLİK HİZMETLERİ, BÜRO TESCİL VE MESLEKÎ DENETİM YÖNETMELİĞİ
7.5.10834.txt;10834;AMBULANSLAR VE ACİL SAĞLIK ARAÇLARI İLE AMBULANS HİZMETLERİ YÖNETMELİĞİ
7.5.10837.txt;10837;KARAYOLU YOLBOYU MÜHENDİSLİK YAPILARI İÇİN AFET YÖNETMELİĞİ
7.5.10884.txt;10884;ÇOCUK KORUMA KANUNUNA GÖRE VERİLEN KORUYUCU VE DESTEKLEYİCİ TEDBİR KARARLARININ UYGULANMASI HAKKINDA YÖNETMELİK
7.5.10885.txt;10885;ÇOCUK KORUMA KANUNUNUN UYGULANMASINA İLİŞKİN USÛL VE ESASLAR HAKKINDA YÖNETMELİK
7.5.10925.txt;10925;BELİRLİ TEKSTİL ÜRÜNLERİ İTHALATINDA GÖZETİM VE KORUNMA ÖNLEMLERİNE DAİR YÖNETMELİK
7.5.10928.txt;10928;BAĞCILIK  YÖNETMELİĞİ
7.5.10982.txt;10982;AÇIK ALANDA KULLANILAN TEÇHİZAT TARAFINDAN OLUŞTURULAN ÇEVREDEKİ GÜRÜLTÜ EMİSYONU İLE İLGİLİ YÖNETMELİK (2000/14/AT)
7.5.10984.txt;10984;TASARRUF MEVDUATI SİGORTA FONU ALACAKLARININ TAKİP VE TAHSİLİNE İLİŞKİN ESAS VE USULLER HAKKINDA YÖNETMELİK
7.5.11004.txt;11004;ÖLÇÜ VE ÖLÇÜ ALETLERİ DAMGA YÖNETMELİĞİ
7.5.11006.txt;11006;TÜRK DİŞ HEKİMLERİ BİRLİĞİ VE DİŞ HEKİMLERİ ODALARININ ÇALIŞMA USUL VE ESASLARI HAKKINDA YÖNETMELİK
7.5.11016.txt;11016;TÜRKİYE BİLİMSEL VE TEKNOLOJİK ARAŞTIRMA KURUMU TEKNOLOJİ VE YENİLİK DESTEK PROGRAMLARINA İLİŞKİN YÖNETMELİK
7.5.11029.txt;11029;TEKERLEKLİ ARAÇLAR İLE BU ARAÇLARA TAKILAN VE/VEYA ARAÇLARDA KULLANILAN AKSAM VE PARÇALAR İLE İLGİLİ TEKNİK MEVZUATIN UYGULANMASINA DAİR YÖNETMELİK
7.5.11033.txt;11033;ADALET BAKANLIĞI TEFTİŞ KURULU YÖNETMELİĞİ
7.5.11037.txt;11037;TÜRKİYE YATIRIM DESTEK VE TANITIM AJANSI MUHASEBE YÖNETMELİĞİ
7.5.11054.txt;11054;HAVA TRAFİK KONTROL HİZMETLERİ PERSONELİ LİSANS VE DERECELENDİRME YÖNETMELİĞİ (SHY 65-01)
7.5.11057.txt;11057;FİNANSAL YENİDEN YAPILANDIRMA ÇERÇEVE ANLAŞMALARININ ONAYLANMASI, KABULÜ VE UYGULANMASINA İLİŞKİN GENEL ŞARTLAR HAKKINDA YÖNETMELİK
7.5.11069.txt;11069;BANKACILIK DÜZENLEME VE DENETLEME KURULU ÜYELERİ İLE BANKACILIK DÜZENLEME VE DENETLEME KURUMU PERSONELİNİN UYACAKLARI MESLEKÎ VE ETİK İLKELERE DAİR YÖNETMELİK BİRİNCİ BÖLÜM
7.5.11076.txt;11076;VAKIFLAR GENEL MÜDÜRLÜĞÜ MÜZELER YÖNETMELİĞİ
7.5.11084.txt;11084;TÜRKİYE YATIRIM DESTEK VE TANITIM AJANSI MAL VE HİZMET ALIMLARI İLE YAPIM İŞLERİ HAKKINDA YÖNETMELİK
7.5.11085.txt;11085;BANKACILIK DÜZENLEME VE DENETLEME KURUMU İNSAN KAYNAKLARI YÖNETMELİĞİ
7.5.11102.txt;11102;ALT YAPILAR İÇİN AFET YÖNETMELİĞİ
